energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,uri,name
0.462,0.129,110.017,0.0577,0.682,0.0502,3,0.474,0,178283,-9.812,0.428,1,spotify:track:1EszBisMhAxGcliGSxsc2y,Nothingness (feat. The Districts)
0.828,0.194,82.495,0.033,0.0473,0.00186,4,0.399,7,252733,-5.713,0.158,0,spotify:track:5ZhBx7W9rigl2vuRdT27rq,New Romance
0.479,0.111,117.997,0.0414,0.114,0.197,4,0.796,5,260737,-9.666,0.599,0,spotify:track:3xIE9rPDydQVy8i3qDWHaC,With Ease
0.765,0.438,130.105,0.0479,0.00264,0.0,4,0.414,6,169846,-3.578,0.0398,1,spotify:track:4AoUdMZGoPZZQxVFnoVQEl,Love Is Gone (Tiësto Remix)
0.744,0.121,109.986,0.106,0.0819,0.0,4,0.833,8,131621,-5.655,0.786,0,spotify:track:1s7Mm2bEKLmcjAS4AzGf8E,Party With You
0.85,0.118,180.027,0.0987,0.00675,0.000985,4,0.491,3,221827,-4.755,0.648,1,spotify:track:4dj1qglNo2j45K8z2sDFEY,No Choice
0.889,0.104,130.005,0.0332,0.0487,4.95e-05,4,0.701,1,144923,-4.723,0.459,1,spotify:track:4Fog6M3ewKQFaVZkaMeAde,Fuck Everyone But You (Madds Remix)
0.859,0.0859,144.995,0.0352,3.41e-05,0.0,4,0.549,1,174568,-5.325,0.351,1,spotify:track:4hqPAxttJibCdJwg4FGRSC,CRACK MY SKULL
0.832,0.339,126.012,0.0522,0.0259,0.000905,4,0.707,4,175242,-5.791,0.377,0,spotify:track:3BZ2cqwhyjrqb2CWeX3W7O,I Wish (feat. Mabel) - VIP Mix
0.447,0.373,133.086,0.0311,0.217,7.23e-05,3,0.587,11,272094,-8.114,0.262,1,spotify:track:17apvgam6zK9bJ3Mww7JoB,The Best Is Yet To Come
0.668,0.182,76.506,0.163,0.141,0.0593,4,0.806,1,132156,-9.203,0.795,1,spotify:track:5h7QCIkrAcCbdxILyK4pxF,I Need a Doctor
0.858,0.0947,123.982,0.217,0.103,7.34e-06,4,0.568,6,270000,-4.336,0.382,0,spotify:track:774MzSG5vscluEwLBBWvRW,Piece Of Me (feat. LOVA) - Au5 Remix
0.409,0.0978,125.008,0.0304,0.347,2.51e-06,4,0.674,9,190465,-8.815,0.234,1,spotify:track:1hXAkVaCozEsMUPVCcEkO9,not over you
0.887,0.201,176.058,0.12,0.00011,0.165,4,0.488,2,185067,-3.641,0.743,1,spotify:track:4vMAlseGdICfrNr3RVZoAQ,Wake Up
0.621,0.124,159.989,0.0336,0.543,2.19e-06,4,0.572,2,187544,-7.298,0.35,1,spotify:track:2jgq1RlYLt4FZldm4KAfj2,Healing
0.417,0.104,78.087,0.0272,0.592,0.0,4,0.533,7,211763,-8.704,0.0962,1,spotify:track:5KWWYUIWMWaVfTQY0yZVFT,Vampires
0.726,0.0984,106.979,0.0371,0.14,0.0,4,0.584,1,212447,-4.604,0.398,1,spotify:track:2JVwsN6viHjR9t5pCPQ4Br,Pretty Shining People
0.489,0.197,84.211,0.0635,0.59,0.0,4,0.539,2,164396,-8.456,0.515,1,spotify:track:4qeHV9T5N3S7KAKryZQp8s,Older
0.713,0.0837,80.043,0.0846,0.628,0.0,4,0.654,1,167120,-6.484,0.694,0,spotify:track:1lNEXDlxVhsWaq2DLBUDgC,simple times
0.725,0.426,151.962,0.0454,0.0316,1.25e-06,4,0.448,9,359500,-5.259,0.231,0,spotify:track:5Kr01FtRG1qf7nHJJoGAX9,Hold feat. Daniela Andrade - Original Mix
0.769,0.141,82.98,0.0638,0.31,0.823,4,0.426,2,226958,-10.522,0.397,1,spotify:track:1Qa5MuxivUiiIh4oQYmp2Y,Bloodshot - Helios Remix
0.381,0.135,97.216,0.203,0.748,0.0,4,0.551,2,176372,-8.919,0.271,1,spotify:track:3VVLOvm3AV7quKn7gN9szx,Walking Away
0.718,0.293,116.086,0.0857,0.105,0.0601,4,0.554,1,236693,-5.361,0.562,1,spotify:track:42MrgSLArhLVJMJXVJbZjZ,The Breakup
0.788,0.368,148.992,0.259,0.0123,1.84e-05,4,0.58,2,182426,-4.714,0.72,1,spotify:track:1q2Zb0v5ZGxKDktEz7wSPb,Serotonin
0.703,0.206,109.996,0.0327,0.25,4.92e-05,4,0.631,0,189410,-6.882,0.615,1,spotify:track:2tKms0ZEvwT79YPv8N7YZT,About You
0.252,0.0968,134.893,0.0305,0.656,0.0,4,0.696,5,206627,-9.393,0.115,1,spotify:track:6NbawlEK1oiHcqA6rJUZuD,Through To You
0.621,0.139,156.002,0.151,0.462,0.0,4,0.734,3,124653,-5.872,0.636,1,spotify:track:6fhl3Ib22ws3FnSsazP0mq,Video Games
0.751,0.139,120.033,0.0327,0.0299,1.64e-06,4,0.598,6,187768,-5.869,0.671,1,spotify:track:091fNYzUxwTrytWW89nO6C,Mundane
0.788,0.098,157.006,0.0421,0.248,0.562,4,0.626,4,260017,-7.609,0.728,0,spotify:track:3YMJJSB5EjoJsYh0gRfLxR,"Notice (Now, Now Remix)"
0.385,0.163,123.972,0.0308,0.0573,0.000354,4,0.531,8,252581,-11.699,0.212,0,spotify:track:762RRh8Dk3jprRMl8U8Q4n,Patagonia Sunrise
0.311,0.086,137.89,0.0392,0.383,0.0,4,0.573,4,200706,-12.573,0.0896,1,spotify:track:4theWoXNBRcNzY43Mwdl7V,Anthems For A Seventeen Year Old Girl
